scan_timestamp,run_id,ip,ip_block,port,status,ttl,source
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.101,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.70,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.31,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.193,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.3,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.46,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.60,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.115,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.188,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.21,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.222,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.208,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.124,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.165,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.73,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.190,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.43,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.138,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.30,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.143,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.34,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.145,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.36,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.15,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.82,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.203,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.57,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.163,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.50,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.158,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.197,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.151,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.98,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.96,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.153,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.244,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.201,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.40,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.119,,80,open,57,zmap
2026-01-13T13:01:27Z,2026-01-13T13-01-18Z,2.20.160.111,,80,open,57,zmap
